ts=2024-02-08 06:49:10,330    level=INFO    user = u2                   ProjectName = old                            msg = ' oldProject is created'  
ts=2024-02-08 06:49:36,577    level=INFO    user = u2                   ProjectName = new1                           msg = ' new1 Project is created'  
ts=2024-02-08 07:07:40,735    level=INFO    user = u2                   ProjectName = NewPro1                        msg = ' NewPro1 Project is created'  
ts=2024-02-08 07:07:54,535    level=INFO    user = u2                   ProjectName = NewPro2                        msg = ' NewPro2 Project is created'  
ts=2024-02-08 07:08:01,890    level=INFO    user = u2                   ProjectName = NewPro3                        msg = ' NewPro3 Project is created'  
ts=2024-02-08 07:08:10,968    level=INFO    user = u2                   ProjectName = NewPro4                        msg = ' NewPro4 Project is created'  
ts=2024-02-08 07:45:17,624    level=INFO    user = u2                   ProjectName = hello                          msg = ' hello Project is created'  
ts=2024-02-08 07:45:24,515    level=INFO    user = u2                   ProjectName = NewPro90                       msg = ' NewPro90 Project is created'  
ts=2024-02-08 07:45:35,238    level=INFO    user = u2                   ProjectName = NewPro98                       msg = ' NewPro98 Project is created'  
ts=2024-02-08 07:45:40,217    level=INFO    user = u2                   ProjectName = NewPro123                      msg = ' NewPro123 Project is created'  
ts=2024-02-08 07:45:49,806    level=INFO    user = u2                   ProjectName = NewPro876                      msg = ' NewPro876 Project is created'  
ts=2024-02-08 07:45:55,915    level=INFO    user = u2                   ProjectName = NewPro90123                    msg = ' NewPro90123 Project is created'  
ts=2024-02-08 07:52:31,898    level=INFO    user=u2                   ProjectName=mike_pro                       msg =' mike_pro Project is created'  
ts=2024-02-08 07:53:03,393    level=INFO    user=u2                   ProjectName=Oldest_project1                msg='Oldest_project1 Project is created'  
ts=2024-02-08 07:53:07,190    level=INFO    user=u2                   ProjectName=Oldest_project2                msg='Oldest_project2 Project is created'  
ts=2024-02-08 07:53:11,014    level=INFO    user=u2                   ProjectName=Oldest_project3                msg='Oldest_project3 Project is created'  
ts=2024-02-08 07:53:15,455    level=INFO    user=u2                   ProjectName=Oldest_project4                msg='Oldest_project4 Project is created'  
ts=2024-02-08 07:53:19,876    level=INFO    user=u2                   ProjectName=Oldest_project5                msg='Oldest_project5 Project is created'  
ts=2024-02-08 08:04:59,140    level=INFO    user=nisha                ProjectName=Hello_project                  msg='Hello_project Project is created'  
ts=2024-02-08 09:24:42,791    level=INFO    user=nisha                ProjectName=new23                          msg='new23 Project is created'  
ts=2024-02-08 10:58:18,960    level=INFO    user=nisha                ProjectName=PROJECT                        msg='PROJECT Project is created'  
